s_m,x_m,y_m,curvature_1_m,track_width_m
400.0,-111.13747776963847,-20.94536504492946,-0.0005729613148398817,12.0
402.0,-109.11113328036754,-21.355283743760378,-0.0002869464295390541,12.0
404.0,-107.08647256981753,-21.76611168732804,-8.789747657922544e-08,12.0
406.0,-105.06356256283584,-22.176584594223776,0.00028801407782101033,12.0
408.0,-103.04247018426983,-22.585438183038914,0.0005777641229891439,12.0
410.0,-101.02326235896686,-22.991408172364775,0.0008695683445972703,12.0
412.0,-99.00600601177432,-23.393230280792686,0.0011638308314711394,12.0
414.0,-96.99076806753959,-23.789640226913978,0.0014609499379668893,12.0
416.0,-94.97761545111004,-24.179373729319966,0.0017613142747919992,12.0
418.0,-92.96661508733303,-24.56116650660199,0.0020652983327516636,12.0
420.0,-90.95783390105596,-24.933754277351362,0.0023732576644248456,12.0
422.0,-88.95133881712619,-25.295872760159416,0.0026855235495868287,12.0
424.0,-86.94719676039107,-25.64625767361747,0.0030023970726404886,12.0
426.0,-84.94547465569802,-25.98364473631686,0.0033241425449509533,12.0
428.0,-82.9462394278944,-26.306769666848908,0.0036509802124649634,12.0
430.0,-80.94955800182755,-26.614368183804938,0.003983078200117301,12.0
432.0,-78.95549730234491,-26.90517600577627,0.004320543660166877,12.0
434.0,-76.96412425429378,-27.177928851354245,0.004663413112734603,12.0
436.0,-74.9755057825216,-27.431362439130176,0.005011641994454464,12.0
438.0,-72.9897088118757,-27.664212487695387,0.005365093466312391,12.0
440.0,-71.00680026720346,-27.87521471564121,0.005723526575360279,12.0
442.0,-69.02684707335229,-28.063104841558975,0.006086583917778253,12.0
444.0,-67.04991615516953,-28.22661858404,0.006453779013088602,12.0
446.0,-65.07607443750254,-28.364491661675608,0.006824483671033788,12.0
448.0,-63.10538884519874,-28.47545979305713,0.007197915712792759,12.0
450.0,-61.13792630310548,-28.5582586967759,0.007573127494895079,12.0
452.0,-59.173753736070125,-28.611624091423227,0.007948995774209749,12.0
454.0,-57.21293806894007,-28.634291695590445,0.008324213541051787,12.0
456.0,-55.255546226562686,-28.62499722786888,0.008697284528413358,12.0
458.0,-53.301645133785335,-28.582476406849864,0.009066521170515242,12.0
460.0,-51.351301715455385,-28.505464951124708,0.009430046823616893,12.0
462.0,-49.40458289642024,-28.392698579284747,0.009785803065424419,12.0
464.0,-47.46155560152726,-28.24291300992131,0.010131562845063214,12.0
466.0,-45.52228675562381,-28.05484396162571,0.010464950152508316,12.0
468.0,-43.58684328355726,-27.827227152989288,0.01078346670556563,12.0
470.0,-41.65529211017501,-27.558798302603357,0.011084525908535156,12.0
472.0,-39.72769225389745,-27.248337739218755,0.010810120541535323,12.0
474.0,-37.80370278585209,-26.896882400372107,0.0095292985904447,12.0
476.0,-35.88240224702203,-26.508744728766043,0.00825058952765438,12.0
478.0,-33.96282357611049,-26.088494467270806,0.0069810354434475756,12.0
480.0,-32.04399971182069,-25.64070135875664,0.005725329011818027,12.0
482.0,-30.124963592855828,-25.16993514609379,0.004486202866533453,12.0
484.0,-28.204748157919123,-24.680765572152502,0.0032648271585980423,12.0
486.0,-26.282386345713782,-24.177762379803028,0.0020611947578071774,12.0
488.0,-24.356911094943015,-23.665495311915606,0.0008744833132039989,12.0
490.0,-22.42735534431004,-23.148534111360487,-0.00029660948876176097,12.0
