s_m,x_m,y_m,curvature_1_m,track_width_m
498,420.97840313619611,-5.4862164839155616,0.029405168679643247,4.5
500,422.60895694595092,-4.3286307080507438,0.029405177401107169,4.5
502,424.16865446899641,-3.0772094189971755,0.029405160709606862,4.5
504,425.65210420890259,-1.736278313609847,0.029405118605155031,4.5
506,427.05417809999608,-0.31047235861370281,0.029405051088215086,4.5
508,428.37002921762507,1.1952802152907487,0.029404958159204863,4.5
510,429.59510851800871,2.7757749316963665,0.029404839818885337,4.5
512,430.72518054990485,4.4255490404160804,0.029404696068109963,4.5
514,431.75633808388079,6.1389003810624354,0.02946327450101523,4.5
516,432.68480419057494,7.9100095052165065,0.039842975343991893,4.5
518,433.46913812123421,9.7489283376676923,0.050000157517721314,4.5
520,434.06596272767638,11.656958138463754,0.05000031201075264,4.5
522,434.46931572666199,13.615033574099094,0.052299229101064611,4.5
524,434.66599972946221,15.604182322098739,0.064721320391265477,4.5
526,434.60427951691082,17.601709818867697,0.066649461017354833,4.5
528,434.27764299559772,19.573266063923803,0.066650992084578933,4.5
530,433.69189464216913,21.483886405954742,0.077198713722032283,4.5
532,432.82044206402333,23.27961318891429,0.1196701545820361,4.5
534,431.54931071491148,24.816186314519332,0.12501974996441997,4.5
536,429.93759770142134,25.990557169899766,0.12501961595166292,4.5
538,428.08545265861437,26.729750718009523,0.12501706339644553,4.5
540,426.10795884108262,26.987816466754712,0.1250120927425907,4.5
542,424.12799057455862,26.748681544489322,0.12500470485441587,4.5
544,422.26858701544694,26.02715044963762,0.067382178285078781,4.5
546,420.51811373636218,25.059840056563246,0.0006544072694487157,4.5
548,418.76887432208332,24.090220816070559,-0.0077094675432642758,4.5
550,417.00526537076064,23.147882844031656,-0.060508296329056542,4.5
552,415.14197319657796,22.425820214504157,-0.071638608361687478,4.5
554,413.19463956047116,21.977208640649401,-0.071545104299828077,4.5
556,411.20328714406554,21.810883430995606,-0.071397372746886928,4.5
558,409.20860759039829,21.929628361077299,-0.042348466875621896,4.5
560,407.23031003467497,22.216739831587052,0.083210563897685025,4.5
562,405.23449354950259,22.172236239973206,0.099936143302105401,4.5
564,403.28724038136806,21.732434812513265,0.099934876854999175,4.5
566,401.46598951773774,20.914816273203204,0.094742162172907179,4.5
568,399.83016572817701,19.767957303599367,0.0059858928974086912,4.5
570,398.20706096126708,18.600808347510373,-0.059915685773352441,4.5
572,396.4569820229076,17.636546217782996,-0.086204060972249641,4.5
574,394.56976388978143,16.987509932546157,-0.13605181625360618,4.5
576,392.58167326238259,16.869749472500484,-0.17998756032380908,4.5
578,390.68442713227,17.458239162324116,-0.18728720759383755,4.5
580,389.13209992005591,18.701260259173655,-0.16116373771193268,4.5
582,388.05113221005996,20.375215626497702,-0.066861675097827394,4.5
584,387.19983744700011,22.184267785273946,0.036581416825494407,4.5
586,386.21840113317432,23.926578797676395,0.041840677557875509,4.5
588,385.09550167843457,25.579733425133103,0.1074619498452308,4.5
590,383.65042196294462,26.951269733260851,0.16142766242595558,4.5
592,381.84573347858196,27.792870666228296,0.12790274196965412,4.5
594,379.88143546745403,28.15157492368963,0.065904681513464597,4.5
596,377.88455739417736,28.24919491604582,0.022850646195048941,4.5
598,375.88458817319497,28.255496460996103,0.001538488456982943,4.5
600,373.88458817864853,28.255644157896253,8.9027228514561401E-16,4.5
602,371.88458818410197,28.255791854796399,0,4.5
604,369.88458818955542,28.255939551696546,0,4.5
606,367.88458819500886,28.256087248596693,8.8608455425438924E-16,4.5
608,365.88458820046242,28.256234945496836,0.00051882909531238098,4.5
610,363.88459354200802,28.25430733276351,0.012960181034530397,4.5
612,361.88557545397214,28.20055440571144,0.048599860479495216,4.5
614,359.9029248614624,27.953304101144631,0.10776897811464833,4.5
616,358.02337146990448,27.289374500197837,0.10330596853023367,4.5
618,356.31515064346723,26.251102060787915,0.018487473107874838,4.5
620,354.64567639606025,25.149880951608253,0.013108983490746013,4.5
622,353.00562204266987,24.005256577382323,0.00073186790074550518,4.5
624,351.36723324309747,22.858224694025985,2.4313884239289799E-14,4.5
626,349.72884444352519,21.711192810669608,-8.8817841970008658E-16,4.5
628,348.09045564395285,20.564160927313196,-0.0022882073707353148,4.5
630,346.44685251206351,19.424651256564506,-0.022804164816362198,4.5
632,344.75352870900156,18.361582723239135,-0.075104115259747958,4.5
